"","month","num_wkdayholminor","num_satholmajor","num_sun","weekdays","saturdays","sundays","dum_911_base","supersandy","summer_of_hell","end_close","mon","dummy_1","dummy_2","dummy_3","dummy_4","dummy_5","dummy_6","dummy_7","dummy_8","dummy_9","dummy_10","dummy_11","dummy_12","week","sat","sun","sat_alt","sun_alt","avg_wkdayholminor_tstile","avg_satholmajor_tstile","avg_sun_tstile","real_fare","man_hud_KEEP","man_hud_opt","man_hud_pess","population_hud_opt","population_hud_pess","real_fare_q1_KEEP","pop_hudson_KEEP"
"71",2005-11-01,23,4,4,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3013.306998,3003.438218,2925.982725,730.4152007,730.4152007,2.75,730.4378672
"72",2005-12-01,23,4,4,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3030.479172,3025.269796,2942.657258,734.4093047,734.4093047,2.75,734.327441
"73",2006-01-01,23,4,4,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3048.61249,3048.218741,2960.26508,736.9940408,736.9940408,2.75,736.8699184
"74",2006-02-01,21,5,5,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3067.794848,3070.873328,2978.891542,739.3163345,739.3163345,2.75,739.1338698
"75",2006-03-01,21,5,5,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3086.661407,3092.89598,2997.211357,741.271644,741.271644,2.75,741.0310371
"76",2006-04-01,22,4,5,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3104.91345,3114.305723,3014.934464,742.7502268,742.7502268,2.75,742.458636
"77",2006-05-01,23,4,4,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3122.582985,3134.731535,3032.091944,743.9596048,743.9596048,2.75,743.6214309
"78",2006-06-01,23,4,4,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3138.1959,3155.291314,3047.252404,747.6794028,747.6794028,2.75,744.7860469
"79",2006-07-01,22,5,4,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3156.639063,3175.985938,3065.161093,749.8474597,749.8474597,2.75,745.9524868
"80",2006-08-01,22,5,4,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3175.190617,3196.816292,3083.175031,752.0218033,752.0218033,2.75,747.1207536
