"","man_hud","cpi","pop_hudson","man_hud_covid","cpi_2020_06","regional_emp","manhattan_baseline","hudson_baseline","region_pess","region_opt","man_hud_pess","man_hud_opt","cpi_2020_08","manhattan_base_2020_10","hudson_base_2020_10","pop_hudson_2020_10","cpi_2020_10","man_hud_2020_10","pop_hudson_2020_06","month"
"Jun 2007",2464.0452528922,226.970089851373,614.062798048645,2464.0520842278,207.442183755345,8333.65363551848,2218.04777103375,246.003788709897,8333.65363551848,8333.65363551848,2464.05156026331,2464.05156026331,207.442225445337,2218.94124400216,245.839968223242,614.062736768674,207.442225445337,2464.78121194899,614.062770569147,2007-06-01
"Jul 2007",2468.044743,227.4177,614.2001888,2468.049817,207.939,8338.389,2222.135325,245.9222323,8338.389,8338.389,2468.057558,2468.057558,207.939,2223.321378,245.8028454,614.2001692,207.939,2469.124223,614.2002152,2007-07-01
"Aug 2007",2472.09141599426,228.120725559302,614.578084257525,2472.0925313118,208.676631244803,8346.33718168252,2225.86933365482,246.240021179715,8346.33718168252,8346.33718168252,2472.10935561556,2472.10935561556,208.676533889476,2227.16392388606,246.161781071808,614.578141476481,208.676533889476,2473.32570481416,614.57816988239,2007-08-01
"Sep 2007",2476.18911811693,229.000836339243,615.116568921443,2476.18601941156,209.571830792172,8357.18301966466,2229.37619903507,246.834239190195,8357.18301966466,8357.18301966466,2476.21043897404,2476.21043897404,209.57161739018,2230.64596678788,246.785568222628,615.116700125035,209.57161739018,2477.43153527612,615.116698541759,2007-09-01
"Oct 2007",2480.400062,229.9279,615.6968478,2480.394975,210.49,8370.196,2232.951819,247.4712254,8370.196,8370.196,2480.423045,2480.423045,210.4897,2234.16254,247.4339045,615.6970014,210.4897,2481.596445,615.6969824,2007-10-01
"Nov 2007",2484.67650536693,230.797455132533,616.22557740863,2484.67332201104,211.323712849697,8384.14902890287,2236.74548077939,247.95382065877,8384.14902890287,8384.14902890287,2484.69930179105,2484.69930179105,211.32338908857,2237.93501365239,247.906269541586,616.225671125095,211.32338908857,2485.84128353016,616.225664286901,2007-11-01
"Dec 2007",2488.53088630678,231.607724050917,616.71122029151,2488.53190531117,212.074233816713,8395.82869323032,2240.32002908523,248.230872940436,8395.82869323032,8395.82869323032,2488.55090213684,2488.55090213684,212.073923512468,2241.49010521671,248.161270945508,616.711213401558,212.073923512468,2489.65137613173,616.711233463819,2007-12-01
"Jan 2008",2491.365688,232.3826,617.1876905,2491.3708,212.77,8401.525,2243.091698,248.287732,8401.525,8401.525,2491.37943,2491.37943,212.7697,2244.180869,248.1972983,617.1876019,212.7697,2492.378167,617.1876408,2008-01-01
"Feb 2008",2492.77219298246,233.171065021673,617.679243556101,2492.77934242179,213.466295134182,8398.8734434467,2244.64723759796,248.129074714832,8398.8734434467,8398.8734434467,2492.77631240542,2492.77631240542,213.465976422906,2245.56309972657,248.029132554437,617.679135056469,213.465976422906,2493.59223202813,617.67916854408,2008-02-01
"Mar 2008",2493.09688121154,234.122456345982,618.17150086437,2493.10391389933,214.325789496538,8390.89146667335,2245.25546192031,247.836886451765,8390.89146667335,8390.89146667335,2493.09234862678,2493.09234862678,214.325455226621,2246.00355378972,247.737120102747,618.171410368736,214.325455226621,2493.74067390067,618.171424462229,2008-03-01
"Apr 2008",2492.875032,235.4112,618.6404253,2492.880157,215.538,8381.942,2245.355701,247.5124797,8381.942,8381.942,2492.868181,2492.868181,215.5377,2246.071728,247.4179987,618.6403501,215.5377,2493.489727,618.6403477,2008-04-01
"May 2008",2492.38018188841,237.07039589188,619.077488955852,2492.38206689437,217.132254761717,8374.91282693996,2245.16195082877,247.218685796717,8374.91282693996,8374.91282693996,2492.38063673543,2492.38063673543,217.132064479061,2246.06583440429,247.129702625852,619.077400452731,217.132064479061,2493.19553750544,619.077396888631,2008-05-01
"Jun 2008",2490.83889632855,238.567839454051,619.536200795455,2490.8370491656,218.497126715661,8366.79114377993,2243.98687123354,246.864411471021,8366.79114377993,8366.79114377993,2490.85128254123,2490.85128254123,218.49706298846,2245.19894599478,246.774952258317,619.536103386465,218.49706298846,2491.97389878409,619.536108602084,2008-06-01
"Jul 2008",2487.215998,239.23,620.085579,2487.210862,218.861,8353.089,2240.917788,246.3200823,8353.089,8353.089,2487.23787,2487.23787,218.861,2242.412851,246.2176645,620.0855248,218.861,2488.630516,620.0855389,2008-07-01
"Aug 2008",2480.74211938983,238.626684744134,620.771851927895,2480.73499429703,217.734426559687,8330.71695249721,2235.2400905314,245.525788016819,8330.71695249721,8330.71695249721,2480.76587839361,2480.76587839361,217.734373068253,2236.88016247111,245.396307734749,620.771917354827,217.734373068253,2482.27647061677,620.771932901395,2008-08-01
"Sep 2008",2471.71113221499,237.301052504484,621.550088646404,2471.70385780864,215.756629566748,8302.17958783649,2227.03142270109,244.700274978962,8302.17958783649,8302.17958783649,2471.73169780088,2471.73169780088,215.756452078801,2228.69679274968,244.54755627139,621.550280763187,215.756452078801,2473.24434929627,621.550291962772,2008-09-01
"Oct 2008",2460.682718,236.0396,622.3525684,2460.677595,213.849,8271.38,2216.567492,244.1319537,8271.38,8271.38,2460.699446,2460.699446,213.8487,2218.189479,243.9826359,622.3528015,213.8487,2462.172115,622.3528065,2008-10-01
"Nov 2008",2448.18513247823,235.44116883529,623.125693688121,2448.18438132496,212.733557518061,8241.26347418243,2204.19621534194,244.004374058233,8241.26347418243,8241.26347418243,2448.20058961611,2448.20058961611,212.733195099786,2205.74197182244,243.895906375894,623.125826427956,212.733195099786,2449.63787810159,623.125826683563,2008-11-01
"Dec 2008",2434.62092821883,235.353980157639,623.872360030044,2434.62452419238,212.334836498823,8210.94406042952,2190.55434733243,244.081643390906,8210.94406042952,8210.94406042952,2434.63599066259,2434.63599066259,212.334476844479,2191.966075562,244.014263315378,623.872343960792,212.334476844479,2435.98033862338,623.872341702386,2008-12-01
"Jan 2009",2420.361232,235.4386,624.6095862,2420.366364,212.378,8178.578,2176.350852,244.0230084,8178.578,8178.578,2420.37386,2420.37386,212.3777,2177.530608,243.9477363,624.6095029,212.3777,2421.478344,624.6095005,2009-01-01
"Feb 2009",2405.93827006769,235.436999173966,625.351859860358,2405.94044795876,212.628824849555,8143.55311373618,2162.35878328607,243.586052690993,8143.55311373618,8143.55311373618,2405.94483529017,2405.94483529017,212.62862801409,2163.19273227626,243.425655595008,625.351862714826,212.62862801409,2406.61838768064,625.351862497683,2009-02-01
"Mar 2009",2392.52866653925,235.416767605698,626.103544226017,2392.52615053288,213.015542956475,8110.18354081563,2149.60755478394,242.92170748334,8110.18354081563,8110.18354081563,2392.52926140053,2392.52926140053,213.0154590618,2150.0629929652,242.65455420043,626.103625545501,213.0154590618,2392.71754717312,626.103629027687,2009-03-01
"Apr 2009",2381.470145,235.5269,626.8664714,2381.465053,213.507,8084.015,2139.19067,242.2792409,8084.015,8084.015,2381.46991,2381.46991,213.507,2139.34028,241.9602658,626.8664042,213.507,2381.300546,626.8664119,2009-04-01
"May 2009",2373.69403573257,235.878782616994,627.637230407479,2373.69110721044,214.073735676311,8068.81307087301,2131.86958910644,241.831600992614,8068.81307087301,8068.81307087301,2373.70118933438,2373.70118933438,214.073763214222,2131.87371981335,241.566776610744,627.636711831257,214.073763214222,2373.44049673146,627.636723162736,2009-05-01
"Jun 2009",2368.50609580931,236.433367938087,628.39143796219,2368.50774730567,214.693065749352,8061.22277630783,2127.07759893916,241.446455527583,8061.22277630783,8061.22277630783,2368.52405395744,2368.52405395744,214.69308320462,2127.11338483641,241.290682982898,628.390662972023,214.69308320462,2368.40406812854,628.390675816498,2009-06-01
"Jul 2009",2364.805689,237.114,629.0994677,2364.810778,215.344,8056.109,2123.915943,240.9151522,8056.109,8056.109,2364.831095,2364.831095,215.344,2124.159584,240.8467338,629.0992725,215.344,2365.006318,629.0992831,2009-07-01
"Aug 2009",2361.78084811317,237.846637024722,629.741756050461,2361.785674681,215.996417630382,8049.46867684592,2121.69340636228,240.112046282999,8049.46867684592,8049.46867684592,2361.80545274272,2361.80545274272,215.996415425315,2122.30057035928,240.054472376833,629.743401041626,215.996415425315,2362.35504272687,629.743404903219,2009-08-01
"Sep 2009",2359.77428211238,238.56769397529,630.338990617821,2359.77659542958,216.583675527601,8041.8269465456,2120.54894038533,239.243523361882,8041.8269465456,8041.8269465456,2359.79246406596,2359.79246406596,216.583678490093,2121.57637346693,239.152619753161,630.343292218263,216.583678490093,2360.72899297936,630.343287721141,2009-09-01
"Oct 2009",2359.417369,239.2162,630.9219218,2359.417369,217.03,8034.841,2120.829038,238.5989766,8034.841,8034.841,2359.428015,2359.428015,217.03,2122.214967,238.4846914,630.9290354,217.03,2360.699658,630.9290247,2009-10-01
