month,week,sat,sun,sat_alt,sun_alt,weekdays,saturdays,sundays,dum_911_base,supersandy,summer_of_hell,end_close,mon,dummy_1,dummy_2,dummy_3,dummy_4,dummy_5,dummy_6,dummy_7,dummy_8,dummy_9,dummy_10,dummy_11,dummy_12,pop_hudson,real_fare,sun_x_avg,sat_x_avg,week_x_avg,man_hud,avg_wkdayholminor_tstile,avg_satholmajor_tstile,avg_sun_tstile
11/1/2005,213309.3,92866.83333,70244.25,93767.75,70049.57,20,6,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,614.7937069,1.87813516,780.4285714,35.25,188.7894737,2383.794952,214737.21,93767.75,70049.57
12/1/2005,216012.5714,89367,62640,92583.6,62640,21,6,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,614.7252891,1.887780112,0,234.4,260.4285714,2388.577699,215752.57,92583.6,62640
1/1/2006,212746,83670.33333,60693,82453,60693,20,6,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,614.6615844,1.872915702,0,0,206.7,2393.398149,212332.3,82453,60693
2/1/2006,219429,89881.8,56117,89256,56117,19,5,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,614.5879004,1.868588262,0,0,0,2397.938404,219429,89256,56117
3/1/2006,221795.8261,103938.75,67545,103526.75,67545,23,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,614.5010986,1.853173694,0,412.25,105.4347826,2402.157539,221870.57,103526.75,67545
4/1/2006,220328,97400.6,73620,96945.6,73620,20,5,5,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,614.4009287,1.836341962,0,455.4,0,2406.083874,220328,96945.6,73620
5/1/2006,227054.0909,100293.4,80740,105549.75,80740,22,5,4,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,614.2908978,1.824740523,0,43.25,1163.909091,2409.708767,225889.09,105549.75,80740
6/1/2006,231531.2727,95307,81910,94873,82910,22,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,614.1895411,1.816543127,0,404,648.1818182,2412.875729,230249.82,94873,82910
7/1/2006,225172.25,96554.16667,76882,98518,76873.33,20,6,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,614.1191512,1.812471986,3.666666667,0,380.65,2415.391311,224742.35,98518,76873.33
8/1/2006,224921.6522,100514,75649,100488,75649,23,4,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,614.0949587,1.804384203,0,13,321.0434783,2417.323869,224598.96,100488,75649
9/1/2006,233170.05,98325.16667,84260,99389,84260,20,6,4,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,614.1039476,1.81409825,0,0,88.95,2419.788992,233081.05,99389,84260
10/1/2006,235527.6818,100677,78676,100677,78676,22,4,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,614.1260402,1.823917456,0,0,862.8095238,2424.164076,236989.19,100677,78676
