"","man_hud","cpi","pop_hudson","man_hud_covid","cpi_2020_06","regional_emp","manhattan_baseline","hudson_baseline","region_pess","region_opt","man_hud_pess","man_hud_opt","cpi_2020_08","month"
"Jun 2009",2368.50609580931,236.433367938087,628.39143796219,2368.50774730567,214.693065749352,8061.22277630783,2127.07759893916,241.446455527583,8061.22277630783,8061.22277630783,2368.52405395744,2368.52405395744,214.69308320462,2009-06-01
"Jul 2009",2364.805689,237.114,629.0994677,2364.810778,215.344,8056.109,2123.915943,240.9151522,8056.109,8056.109,2364.831095,2364.831095,215.344,2009-07-01
"Aug 2009",2361.78084811317,237.846637024722,629.741756050461,2361.785674681,215.996417630382,8049.46867684592,2121.69340636228,240.112046282999,8049.46867684592,8049.46867684592,2361.80545274272,2361.80545274272,215.996415425315,2009-08-01
"Sep 2009",2359.77428211238,238.56769397529,630.338990617821,2359.77659542958,216.583675527601,8041.8269465456,2120.54894038533,239.243523361882,8041.8269465456,8041.8269465456,2359.79246406596,2359.79246406596,216.583678490093,2009-09-01
"Oct 2009",2359.417369,239.2162,630.9219218,2359.417369,217.03,8034.841,2120.829038,238.5989766,8034.841,8034.841,2359.428015,2359.428015,217.03,2009-10-01
"Nov 2009",2361.15584155551,239.738735950781,631.51544304623,2361.15548384336,217.282149357715,8030.39540692852,2122.76600896296,238.39550405317,8030.39540692852,8030.39540692852,2361.16151332437,2361.16151332437,217.282130640069,2009-11-01
"Dec 2009",2364.69285166709,240.112089494088,632.121020010974,2364.69306719822,217.377009918026,8031.28425232456,2126.13543033432,238.561023347107,8031.28425232456,8031.28425232456,2364.69645381573,2364.69645381573,217.376980612786,2009-12-01
"Jan 2010",2369.545906,240.3206,632.7342614,2369.545906,217.374,8040.529,2130.598696,238.951157,8040.529,8040.529,2369.549853,2369.549853,217.374,2010-01-01
"Feb 2010",2375.04179366476,240.362567320298,633.347654364617,2375.0397156863,217.329762716536,8058.84236210666,2135.64077611919,239.407329704322,8058.84236210666,8058.84236210666,2375.04810581164,2375.04810581164,217.329850903295,2010-02-01
"Mar 2010",2379.74443355263,240.292133233545,633.941199838286,2379.73992570347,217.289840355853,8077.70204415619,2140.04094594407,239.714174849689,8077.70204415619,8077.70204415619,2379.75512081927,2379.75512081927,217.290043503206,2010-03-01
"Apr 2010",2382.027027,240.1774,634.4917772,2382.021894,217.297,8086.277,2142.402057,239.642128,8086.277,8086.277,2382.044185,2382.044185,217.2973,2010-04-01
"May 2010",2381.00339619283,240.091746619878,634.993496524929,2381.00084881882,217.390503479845,8077.78595945959,2141.95993426396,239.068606399912,8077.78595945959,8077.78595945959,2381.02854050312,2381.02854050312,217.39084722823,2010-05-01
"Jun 2010",2378.74984671502,240.129659053215,635.509390672924,2378.75149958049,217.595591621527,8061.64675623592,2140.48229651906,238.2989540171,8061.64675623592,8061.64675623592,2378.78125016646,2378.78125016646,217.595930559577,2010-06-01
"Jul 2010",2378.083305,240.3909,636.1197232,2378.088426,217.934,8051.327,2140.369836,237.7454965,8051.327,8051.327,2378.115332,2378.115332,217.9343,2010-07-01
"Aug 2010",2381.1395105269,240.939875829818,636.878966291219,2381.14566892732,218.417556697417,8056.58813338832,2143.4498570472,237.714212251587,8056.58813338832,8056.58813338832,2381.16406884253,2381.16406884253,218.417793517116,2010-08-01
