"","man_hud","cpi","pop_hudson","man_hud_covid","cpi_2020_06","regional_emp","month"
"Jan 2024",2927.648112,303.7468985,703.0138649,2913.2978,272.493,9512.486,2024-01-01
"Feb 2024",2927.97923755597,304.273703096959,703.439948014745,2913.58346897042,272.941446769083,9513.63619161252,2024-02-01
"Mar 2024",2928.33911866094,304.818296583845,703.867587896434,2913.95531693921,273.39024787039,9514.9436296789,2024-03-01
"Apr 2024",2928.745179,305.3630567,704.2974083,2914.293277,273.841,9516.689,2024-04-01
"May 2024",2929.20878824813,305.896289954491,704.729009169591,2914.5130383327,274.294746908832,9519.05118976557,2024-05-01
"Jun 2024",2929.71710003996,306.430017935269,705.157895206193,2914.67331446228,274.750320567138,9521.80189172087,2024-06-01
"Jul 2024",2930.251214,306.982191,705.5785473,2914.868575,275.206,9524.611,2024-07-01
"Aug 2024",2930.79306145149,307.563042240629,705.98742946615,2915.15557495806,275.660713743734,9527.2255678437,2024-08-01
"Sep 2024",2931.32790051255,308.151935686193,706.388938219539,2915.44021095242,276.115988379579,9529.70128491912,2024-09-01
"Oct 2024",2931.841821,308.7205181,706.7894532,2915.590665,276.574,9532.171,2024-10-01
"Nov 2024",2932.33246272366,309.249801205213,707.194011058401,2915.52768309434,277.03613885697,9534.73346478554,2024-11-01
"Dec 2024",2932.84366546539,309.758256564406,707.602276489729,2915.38226713546,277.500651840474,9537.35104267674,2024-12-01
"Jan 2025",2933.430819,310.2737207,708.0125712,2915.337983,277.965,9539.952,2025-01-01
"Feb 2025",2934.13290839459,310.816633412589,708.423508203949,2915.52635910902,278.427619717273,9542.49538782893,2025-02-01
"Mar 2025",2934.92329988517,311.377847615444,708.834865751178,2915.87077406129,278.89084870297,9545.0633962258,2025-03-01
"Apr 2025",2935.758955,311.9408195,709.2467134,2916.242569,279.358,9547.769,2025-04-01
"May 2025",2936.60448062391,312.494605481464,709.658749033207,2916.54320146957,279.831271162824,9550.68631723205,2025-05-01
