"","month","week_avg","sat_avg","sun_avg","num_wkdayholminor","num_satholmajor","num_sun","weekdays","saturdays","sundays","dum_911_base","supersandy","summer_of_hell","end_close","mon","dummy_1","dummy_2","dummy_3","dummy_4","dummy_5","dummy_6","dummy_7","dummy_8","dummy_9","dummy_10","dummy_11","dummy_12","week","sat","sun"
"91",2027-03-01,300604.675825243,147533.77704453,96199.5882722781,23,4,4,23,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,6913907.54398058,590135.108178121,384798.353089112
"92",2027-04-01,306209.19135904,149769.834663365,102382.732223349,22,4,4,22,4,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,6736602.20989887,599079.338653461,409530.928893396
"93",2027-05-01,309141.021344952,141859.937649519,107042.105919813,20,6,5,20,5,6,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,6182820.42689903,709299.688247595,642252.635518875
"94",2027-06-01,312621.568031646,149079.387191637,112599.994882901,22,4,4,22,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,6877674.49669622,596317.548766546,450399.979531604
"95",2027-07-01,308763.212871177,145352.249292925,106292.596718692,21,6,4,21,4,6,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,6484027.47029472,581408.997171702,637755.580312151
"96",2027-08-01,302889.981474394,144224.463113413,104879.184597097,22,4,5,22,5,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,6663579.59243667,721122.315567066,419516.738388388
"97",2027-09-01,313449.323177747,145519.046273012,109699.753496997,21,5,4,21,4,5,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,6582435.78673268,582076.185092048,548498.767484984
"98",2027-10-01,311565.478588308,149321.4884643,107052.248381818,21,5,5,20,5,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,6231309.57176615,746607.442321502,642313.490290908
"99",2027-11-01,305636.480613772,143910.228696705,103324.126214908,20,6,4,19,4,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,5807093.13166168,575640.914786822,723268.883504353
"100",2027-12-01,296013.301283121,144138.517195515,105502.274171084,21,6,4,21,4,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,6216279.32694555,576554.068782061,633013.645026501
"101",2028-01-01,294765.767010357,129581.523924539,89465.5520850907,20,6,5,20,5,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5895315.34020714,647907.619622697,536793.312510544
"102",2028-02-01,300102.79259808,136505.772434665,94939.4495178169,20,5,4,20,4,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,6002055.8519616,546023.08973866,474697.247589084
"103",2028-03-01,302905.749554511,150272.989495406,97806.9200852832,23,4,4,23,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,6966832.23975376,601091.957981622,391227.680341133
"104",2028-04-01,308513.111227815,152504.052122473,103987.133044575,20,5,5,20,5,5,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,6170262.22455631,762520.260612366,519935.665222877
"105",2028-05-01,311448.46628919,144588.915395086,108643.432149923,22,5,4,22,4,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,6851866.25836217,578355.661580343,543217.160749616
"106",2028-06-01,314933.092346595,151802.978738543,114198.160566463,22,4,4,22,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,6928528.03162509,607211.914954174,456792.642265853
"107",2028-07-01,311079.095673268,148070.442927002,107887.594981993,20,6,5,20,5,6,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,6221581.91346536,740352.214635012,647325.56989196
"108",2028-08-01,305210.435697814,146937.354983641,106471.071859024,23,4,4,23,4,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,7019840.02104971,587749.419934565,425884.287436097
"109",2028-09-01,315775.332469389,148226.7336302,111288.586822973,20,6,4,20,4,6,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,6315506.64938779,592906.934520802,667731.520937841
"110",2028-10-01,313899.006758687,152024.042869271,108638.06976274,22,4,5,21,5,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,6591879.14193244,760120.214346356,543190.348813702
"111",2028-11-01,307980.122552174,146607.681754522,104906.954196188,20,6,4,19,4,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,5851622.3284913,586430.727018088,734348.679373314
"112",2028-12-01,298368.889192798,146830.803028468,107082.070096597,20,6,5,20,5,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,5967377.78385595,734154.015142338,642492.420579579
"113",2029-01-01,297134.021626578,132268.464616419,91042.2115560768,21,6,4,21,4,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6239814.45415813,529073.858465675,546253.269336461
"114",2029-02-01,302483.534910741,139187.178355092,96512.8612618039,19,5,4,19,4,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5747187.16330407,556748.713420368,482564.30630902
"115",2029-03-01,305298.74663845,152949.060307192,99377.2012616355,22,5,4,22,4,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,6716572.4260459,611796.24122877,496886.006308178
"116",2029-04-01,310918.288116872,155175.476642025,105554.68784119,21,4,5,21,5,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,6529284.05045431,775877.383210124,422218.751364762
"117",2029-05-01,313865.939748838,147256.473890522,110208.718417294,22,5,4,22,4,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,6905050.67447444,589025.895562087,551043.592086471
"118",2029-06-01,317363.306721715,154465.951136341,115760.75577545,21,5,4,21,4,5,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,6664629.44115601,617863.804545366,578803.778877251
"119",2029-07-01,313522.856963671,150726.210704184,109445.962619689,21,5,5,21,5,5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,6583979.99623708,753631.053520918,547229.813098445
"120",2029-08-01,307668.64894951,149582.067251726,108022.952277565,23,4,4,23,4,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,7076378.92583874,598328.269006904,432091.809110261
